threads	PDB_ID	chain	atoms	mm_Da	runtime	stdev	speedup	efficiency
12	3KMH	A	1736	28096.5	3.955392599105	0.06330793821533129	6.350739497410172	0.5292282914508476
12	3FX3	B	1777	26405.2	4.6586766242949995	0.018114041140302455	6.188796251116293	0.5157330209263578
12	3MQ2	A	1666	23971.4	3.99000787735	0.04851742895525889	6.2342110147338	0.51951758456115
12	3A0O	A	6134	87972	12.6015880108	0.004412269239964827	4.913032854421939	0.40941940453516157
12	1IQ8	A	4651	66700.1	10.8073781729	0.039599324380700636	5.100496080577937	0.4250413400481614
12	2V8S	E	1148	17434.7	3.16603946686	0.03175545871914915	6.564451811275864	0.5470376509396554
12	2WCI	B	880	15061.1	2.801367044445	0.010145589373307526	6.73536324283708	0.5612802702364234
12	1TMO	A	6254	92476.9	15.0469164848	0.011086644207887492	4.2143032864146885	0.3511919405345574
12	2ZJR	J	1090	16257.2	3.4952414035799997	0.03834992322446127	7.032479337628505	0.5860399448023754
12	2OAJ	A	6830	100137	16.643983483299998	0.06797898914127234	4.629542017928783	0.3857951681607319
12	3LHI	A	1745	25149.5	3.765980005265	0.05561394672104737	6.254453136347061	0.5212044280289218
12	2FTX	A	690	10030	2.333403944965	0.0056893187875378115	7.0413230073400115	0.5867769172783343
12	2HBW	A	1670	25533.2	4.0853404998750005	0.05949381700796033	6.139045827420597	0.5115871522850498
12	1GAN	A	1034	14697.6	2.68118965626	0.019000642247348685	6.2226623993741494	0.5185551999478458
12	2VQE	C	1612	26751.1	4.38284611702	0.02685597187759099	6.619099347771516	0.551591612314293
12	3OS7	A	2708	39202.6	6.084493994715	0.06766170766276071	5.46744339071506	0.4556202825595883
12	1TUH	A	1049	17767.8	2.693074464795	0.030584450680433344	6.924087383625109	0.5770072819687591
12	3DSH	A	1935	28595.8	5.669103503225	0.0698445772392769	6.79710312206848	0.5664252601723733
12	4IFA	A	2135	39214.5	5.748294591905	0.006217503087189745	6.120071696106526	0.5100059746755438
12	3V39	A	3119	46513.9	7.079092502595	0.03056185996227782	5.6770732092027325	0.4730894341002277
12	1GQK	B	5687	80439.6	11.8942860365	0.007322930620620941	4.809019794968842	0.40075164958073684
12	2XO8	A	6235	88454.9	14.3941105604	0.027591855882447447	5.1736563142169265	0.4311380261847439
12	2A90	A	1281	26813.2	3.3049434423450004	0.060557434880126146	6.637456812947806	0.5531214010789839
12	3HBM	A	2268	32572	5.17265558243	0.005408620779427757	6.159705775661157	0.5133088146384298
12	1Q8I	A	5709	90154.4	13.7596129179	0.0011442025752355068	5.147405341585696	0.4289504451321413
12	4JG5	A	2253	39221.4	5.60402750969	0.012266418793842477	6.331020321429975	0.5275850267858312
12	1H6P	B	1454	23667.6	4.087722539905	0.047536587498984664	6.4066026306689166	0.533883552555743
12	3UBT	A	2304	37837.3	5.84823548794	0.0691317897389865	6.240349843163569	0.5200291535969641
12	3RRU	A	1125	17483.6	2.7860515117649998	0.00872642068945455	6.379067620878605	0.5315889684065503
12	3JQP	D	2248	37291	5.13581943512	0.054392699636482675	6.1834560842203725	0.5152880070183644
12	3U5E	U	796	13711.4	2.30237853527	0.00144462537650369	6.828565668071731	0.5690471390059776
12	3RV0	B	2477	39425.8	8.960667610165	0.03554564050824662	6.353105306324574	0.5294254421937145
12	4AQP	C	847	13776.7	2.60534644127	0.002822152980418808	6.5919072460007575	0.5493256038333965
12	2IP6	A	702	13011.7	2.037933468815	0.030543483939948334	7.252175421209323	0.6043479517674436
12	2RFF	A	895	13133.5	2.5262709856	0.023577789993788175	7.214203475986752	0.6011836229988959
12	2X06	D	2613	37831.4	5.72145688534	0.021446508156169348	6.133955143168829	0.5111629285974024
12	3PSR	B	769	11343.8	2.503684520725	0.004329661454897611	6.931163196921035	0.5775969330767529
12	1SFP	A	875	12932.7	2.160601496695	0.009341596093755235	7.1645248164590996	0.597043734704925
12	3EMR	A	2192	35980.1	4.755237460135	0.018184679255123334	6.151399217794176	0.512616601482848
12	3VTX	A	1262	20648.8	3.899575471875	0.013716944728947711	7.191694762882888	0.5993078969069073
12	3HYB	A	871	17694.9	3.484666466715	0.05419764402583141	7.228156775114404	0.6023463979262004
12	4G94	B	1405	23226.4	4.58663856983	0.00863723795683515	6.192464490340847	0.516038707528404
12	3ERW	A	1072	16491.4	2.633882403375	0.012103394780967381	6.914541453488365	0.576211787790697
12	4J8S	A	2657	24033.3	4.8196259737	0.05261292251726382	5.631477236689704	0.469289769724142
12	1GRW	D	977	14095.8	2.7537585496899997	0.0026847542556647087	6.928493219602654	0.5773744349668878
12	1Y8O	B	736	14192.1	3.1881976127650002	0.0005394796587296955	5.625403951606298	0.4687836626338582
12	3QJN	A	762	12755.7	2.3055474758149996	0.04879930708216001	7.047330516629865	0.5872775430524887
12	3KVN	A	4793	68548	9.94200956821	0.11927271528704182	5.01616238759856	0.41801353229988
12	4L0L	A	3368	58191.3	9.152752995490001	0.04037314053486437	5.635832088516712	0.4696526740430593
12	3GKU	A	1630	26191.7	5.840947508815001	0.035678318786118546	6.417317226439947	0.5347764355366623
12	4E9O	X	1867	31321.2	4.213737607	0.0863101708451852	5.934332498008342	0.4945277081673618
12	1AM2	A	1373	21364.1	3.311177134515	0.057438230908840794	6.661765030438626	0.5551470858698855
12	3SK2	A	1054	14921.9	3.79547035694	0.0009793241677558018	6.937658315524096	0.5781381929603413
12	4ML9	A	1820	30983.2	5.091834425925	0.008135184696358473	6.300995240300176	0.5250829366916813
12	2I5B	A	2018	29047.2	4.27628195286	0.012705251779546864	6.084217036577567	0.507018086381464
12	1W53	A	710	10086.6	2.12894546986	0.017275318855664187	7.458526171454355	0.6215438476211962
12	3QD7	X	1043	15442.7	2.785610437395	0.036647190543861535	6.542194735094551	0.5451828945912126
12	2FUR	A	1487	23732.4	4.144366025925001	0.00925881968493346	7.052275531388818	0.5876896276157348
12	3AOV	C	3246	51162.9	7.54184436798	0.11376007610196949	5.442341282095898	0.45352844017465815
12	3Q2B	A	927	13901	2.35555613041	0.005614465983961021	6.42341239960875	0.5352843666340625
12	3A1J	C	2068	30012.2	4.969806551935	0.062253086883332955	5.95024106519524	0.49585342209960337
12	1P0Z	H	998	14315.2	2.661496520045	0.005172429839892886	6.833519922352742	0.5694599935293951
12	1G2W	A	2229	32269.9	5.009166955945	0.007240828572465846	5.993283355153482	0.49944027959612347
12	3B9X	B	2277	35933.2	4.5245720148099995	0.05742272086807788	5.791589962614488	0.48263249688454063
12	4G7N	A	1547	25710.5	5.00139307976	0.06404129337299257	6.441265472688243	0.5367721227240202
12	3PGX	B	1979	29363	4.18501889706	0.0287126248399587	6.289070055798283	0.5240891713165235
12	2QNR	A	1681	35011.2	4.41813695431	0.027830238421668065	6.456199026825952	0.5380165855688294
12	4B93	A	1109	21520.7	3.04859149456	0.03308611901690695	6.863530438757572	0.5719608698964643
12	1AOC	A	1377	19741.5	3.876346945765	0.03046492221281171	6.803294261137268	0.5669411884281057
12	3N89	A	2697	42877	6.256680846215	0.039228769307590346	6.2640976748254005	0.5220081395687833
12	2HYJ	A	1474	21766.7	3.674025535585	0.09444468118794838	6.2961731617950605	0.5246810968162551
12	2X3G	A	988	14520.3	2.86657297611	0.01807509745353195	6.934034589649063	0.5778362158040886
12	3CES	A	4093	72050.8	9.114737510680001	0.07077231367520641	5.606143176117401	0.4671785980097834
12	2CO6	A	923	13136.7	2.462832450865	0.0002977253373907726	7.258129145517682	0.6048440954598068
12	2ZPX	A	1103	17283.4	3.2377094030349998	0.04416939147803211	6.83277135848342	0.5693976132069517
12	4JD9	A	872	14533.7	2.6769369840649997	0.00473477695883774	6.846669954597993	0.5705558295498327
12	1KRF	B	3724	56626.6	7.678383469585	0.19880381844042014	4.925075719661068	0.41042297663842237
12	2PL2	A	1536	24388.9	3.6717654466600003	0.034342095106557315	7.005754293510011	0.5838128577925009
12	3HBL	D	8411	128677	22.3566271067	0.020398568906092398	4.714352150034915	0.39286267916957623
